question;reponse;reponse
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;65;Bonjour ca va ca cest bien passe j'ai pas douleurs merci beaucoup
Vous n'avez pas répondu aux messages. Si tout va bien, répondez TVB, sinon répondez AID;85;Quelques gouttes sur la cicatrice mais d après l infirmières il n y a pas d infection
"Evaluez votre douleur sur une échelle de 0 à 10 (0 : pas de douleur ; 10 : douleur insupportable)";14;8 douleur  VER
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à la polyclinique d'Hénin-Beaumont ? Merci de répondre un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);16;Bonjour OK ?? 10
Merci de votre réponse. Pour toute question ou problème vous référer au chirurgien.;101;Je suis passé hier soir à 19h20 pour la sortie mais c'était déjà fermé  dois je repasser pour régler?
Merci de votre réponse.  Si vous avez un commentaire, mettez le dans un 2eme SMS;120;Merci pour votre professionnalisme votre dévouement et votre écoute avec une infrastructure chaleureuse  Un merci à tous
Apportez l'ordonnance de votre médecin, vos analyses de sang et vos examens radiologiques en rapport avec cet examen, surtout s'ils ont été faits dans un autre centre;106;Bonjour, Tous les examens et compte rendus sont dans mon dossier, à Mondor. Je n'ai rien en ma possession.
Merci de votre réponse. Pour toutes questions ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 8h à 17h30. En dehors de ces horaires, le week-end et jours fériés, téléphonez aux numéros indiqués sur les feuilles données à votre sortie;45;Merci ð€© beaucoup bon courage â€ïžâð©¹
En cas de douleur, de rougeur ou de sensation de sable dans l'œil, contactez rapidement les urgences ophtalmologiques au 01.00.00.00.00 ou votre chirurgien. N'oubliez-pas votre RDV de suivi post-opératoire;74;a ajouté un j'aime à Hopital Cochin : Suite à votre intervention, si to...
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez-le maintenant et renvoyez une évaluation de votre douleur dans 45 min;35;Pris doliprane 1000 il y a 2 heures
Merci pour votre réponse. Pour toute autre question ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 7h à 19h. En dehors de ces horaires, et le week-end et jours fériés, appelez les urgences au 01.00.00.00.00.;243;"à ""Merci pour votre réponse. Pour toute autre question ou problème vous pouvez nous appeler au 01.00.00.00.00 du lundi au vendredi de 7h à 19h. En dehors de ces horaires, et le week-end et jours fériés, appelez les urgences au 01.00.00.00.00."""
Avez-vous consulté votre médecin traitant ou les urgences depuis votre intervention ? Merci de répondre uniquement par OUI ou NON;12;Bonjour, non
Vous n'avez pas répondu. Suite à votre intervention à la polyclinique d'Hénin-Beaumont, si tout va bien répondez TVB sinon répondez AID;45;Bonjour tout  va  bien  merci  bonne  journée
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;56;bonjour jai rendez vous il est impossible que je soit la
Pontchaillou : Si vous avez mal dormi, répondez DOR;12;Tout va bien
Vous n'avez pas répondu : ce questionnaire va être clôturé. Encas de problèmes de santé en lien avec votre intervention, vous pouvez joindre le 01.00.00.00.00. Veuillez continuer les traitements. Bonne journée à vous.;34;D'accord sans faute merci beaucoup
Hopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMS;92;Moyennement cette fois car 3h30 attente dans le couloir devant le bloc sans information ð­
Si vous avez des nausées, des vomissements ou des vertiges, répondez NVO. Si vous avez un saignement important, répondez SNG;99;0  Aucun de ces symptômes Autres problèmes liés à l'évacuation des selles, je ne les sens pas venir
Hopital John Monod : suite à votre intervention, si tout va bien répondez TVB, sinon répondez AID;18;Merci tout va bien
Merci de votre réponse. Pouvez-vous nous envoyer SEULEMENT un chiffre de 0 à 10. Si vous avez un commentaire, mettez le dans un 2e SMS. Si vous avez fait un commentaire dans la première réponse, inutile de le renvoyer. Merci!;109;L'ensemble du personnel, du personnel soignant et des médecins, très bien.  Je renote en : 10. Bonne journée.
Merci de votre réponse. Pour toute question ou problème vous pouvez contacter le secrétariat de votre chirurgien ou si urgence contacter le 15;14;D'accord merci
En cas de nausées, de vomissements ou de vertiges, répondez NVO. Si vous avez un saignement important, répondez SNG;47;On est d'accord que je ne peux pas me moucher ?
CH Brive : Suite à votre intervention si tout va bien répondez dès que possible TVB, sinon répondez AID;27;Je vous remercie quand même
En cas de nausées, de vomissements ou de vertiges, répondez NVO. Si vous avez un saignement important, répondez SNG;32;C'est surtout ça qui m'inquiète.
CH Brive : Suite à votre intervention si tout va bien répondez dès que possible TVB, sinon répondez AID;64;Oui pour le moment tout va bien y a rien de grave pour le moment
Merci de votre réponse. Pouvez-vous nous envoyer SEULEMENT un chiffre de 0 à 10. Si vous avez un commentaire, mettez le  dans un 2e SMS. Si vous avez fait un commentaire dans la première réponse, inutile de le renvoyer;222;Un grand merci à tout le personnel, de l'accueil, aux aides soignant.e.s, aux infirmier.e.s, aux biologistes,aux anesthésistes et leurs papouilles, aux chirurgien.ne.s, c'est toute une équipe et un service que je remercie.
En cas de nausées, de vomissements ou de vertiges, répondez NVO. Si vous avez un saignement important, répondez SNG;112;J'ai fait des lavages de nez avec Rhino Horn, il n'y a pas de risque que cela décolle les attelles dans le nez ?
En cas de nausées, de vomissements ou de vertiges, répondez NVO. Si vous avez un saignement important, répondez SNG;70;J'ai mal aux dents du haut plus qu'au nez dont je me suis fait opérer.
Pouvez-vous nous indiquer le type de difficulté que vous rencontrez ?;20;Pas équipée internet
Si vous avez consulté un médecin généraliste ou spécialiste ou etes venu aux Urgences de facon non prévue en liaison avec votre intervention, répondez MED;14;Pas de douleur
Evaluez votre douleur actuelle sur une échelle de 0 à 10 (0 : aucune douleur, 10 : douleur insupportable): répondez simplement un chiffre entre 0 et 10;14;TVB  Douleur 1
Hopital Jane Paré. Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré satisfaction de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);53;Pour le moment je suis très satisfait 8 bonne journée
"Hopital Avicenne : évaluez votre douleur actuelle sur une échelle de 0 à 10 et répondez simplement par un chiffre (0:pas de douleur; 10:douleur insupportable)";71;Douleur 1 car je ne peux pas effectuer sans douleur tous les mouvements
Hopital Avicenne : Afin d'améliorer la qualité de notre prise en charge, indiquez votre satisfaction sur une échelle de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);124;Bonjour je vous attribue la note de 9 pour l ensemble des personnes avant le bloc et 10 voir plus pour le bloc bonne journee
Apportez l'ordonnance de votre médecin, vos analyses de sang et vos examens radiologiques en rapport avec cet examen, surtout s'ils ont été faits dans un autre centre;29;Je suis a bictre hospitalisee
Hopital de Dole, suite à votre intervention  si tout va bien répondez TVB, sinon répondez AID;12;TVB.   Merci
Vous n'avez pas répondu. Si tout va bien répondez TVB sinon répondez AID;14;MERCI BEAUCOUP
CH Brive : Suite à votre intervention si tout va bien répondez dès que possible TVB, sinon répondez AID;13;Tout vas bien
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à l'hopital de la Pitié Salpetrière ? Merci de répondre uniquement un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);19;Trés satisfaite : 8
Hopital Tenon : évaluez la satisfaction de votre séjour en Chirurgie Ambulatoire de 0 à 10 (0: pas satisfait du tout et 10: extrêmement satisfait);104;10. L'accueil, l'accompagnement et l'écoute de toute l'équipe ont été extrêmement professionnels. Merci.
Toutes les informations pour la préparation de votre enfant : https://example.com ;47;Regime alimentaire sans porc sans viande. Merci
Merci de votre réponse. Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00. Pour nous aider, pouvez-vous répondre au questions suivantes : Evaluez la douleur maximum ressentie depuis votre sortie (0 = pas de douleur et 10 = douleur insupportable);29;0.je n'ai pas eu d'opération.
Merci pour votre réponse. N'hésitez pas à laisser un avis positif sur notre page Google : https://example.com;49;Toute l'équipe était très accueillante, bon suivi
Hopital Jane Paré. Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré satisfaction de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);96;Ce matin impossible de joindre quelqu'un pour évoquer mon oeil opéré tout rouge. Assez compliqué
Hopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMS;46;0 .   4heures d'attente avant intervention....
Vous n'avez pas répondu, si tout va bien répondez TVB, si vous voyez moins bien qu'hier répondez VOI. En cas de sensation de douleur en coup de tonnerre ou d'œil dur répondez DUR;123;Mon intervention du 11 juin ayant été annulée merci de me donner une autre date pour mon deuxième oil celui de droite merci
Hopital Parly 2. Faites votre préadmission aujourd'hui : https://example.com et répondez FAIT. Cela nous aidera à préparer au mieux votre arrivée. Si vous rencontrez des difficultés pour la faire, répondez DIF;36;Je l'ai fait sur place lundi dernier
Hopital Jane Paré. Afin d'améliorer la qualité de notre prise en charge, indiquez votre degré satisfaction de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);50;10  bravo à toute  l équipe de chirurgie digestive
Clinique Mutualiste : Suite à votre intervention si tout va bien répondez TVB sinon répondez AID;26;TVB Merci à toute l'équipe
Apportez l'ordonnance de votre médecin, vos analyses de sang et vos examens radiologiques en rapport avec cet examen, surtout s'ils ont été faits dans un autre centre;22;Je serais là, à demain
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2.  Si vous avez fait votre pré-admission, répondez FAIT. Sinon faites-la aujourd'hui : https://example.com Répondez FAIT quand vous l'aurez faite;21;80 ans sait pas faire
Hopital Avicenne : Afin d'améliorer la qualité de notre prise en charge, indiquez votre satisfaction sur une échelle de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);17;9 trés satisfaite
"Hopital John Monod : suite à votre intervention, évaluez votre douleur aujourd'hui sur une échelle de 0 à 10 (0 : pas de douleur ; 10 : douleur insupportable)";11;Je dirais 5
Nous vous souhaitons un bon rétablissement. N'oubliez pas le RDV post-opératoire;20;Merci  bonne journée
Nous vous souhaitons un bon rétablissement. N'oubliez pas le RDV post-opératoire;14;Oui c est noté
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;30;ou trouver numero orthopediste
Etes-vous satisfait de votre séjour en Chirurgie Ambulatoire à la polyclinique d'Hénin-Beaumont ? Merci de répondre un chiffre de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);17;10 très satisfait
Hopital de Croix Rousse : suite à votre intervention tout va bien répondez TVB, sinon répondez AID;12;Tout va bien
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;44;et rdv avec un orthopedique etbtraumatologie
Hopital Lariboisière : Evaluez votre séjour en Chirurgie Ambulatoire de 0 à 10 (0: pas satisfait du tout et 10: extremement satisfait);34;Très satisfait : 10 Bonne journée.
Clinique Jane : Suite à votre examen si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;35;DVD mais je vois dans le brouillard
Bonjour, je suis John le robot et je suis là pour répondre à vos questions. C'est à vous !;78;je veux prendre un rendez-vous pour une hopitalisation de jour santé masculine
Merci de votre réponse. Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 de 07:00 à 20:00 du lundi au vendredi. En dehors de ces horaires contactez le 01.00.00.00.00.;28;Merci , bonne journée à vous
Si vous avez pris les médicaments contre la douleur, répondez PRIS, sinon prenez-les maintenant et renvoyer une évaluation de votre douleur dans 45 mn;80;PRIS doliprane.  Accupan puis dafalgan codéine  Dans la nuit .  Doliprane à 7h30
